topic_label,topic_words
Natural Language Processing,"natural, language, processing, text, understanding"
Reinforcement Learning Agents,"reinforcement, agent, environment, reward, policy"
AI Ethics and Fairness,"data, bias, fairness, ethics, transparency"
Knowledge Representation & Logic,"knowledge, representation, reasoning, ontology, logic"
Formal Ontology and Logic,"ontology, logic, semantics, description, reasoning"
Nonmonotonic Reasoning Systems,"nonmonotonic, defeasibility, belief, revision, default"
Structured Representation Formalisms,"rules, production, frames, networks, semantic"
Agent Knowledge and Reasoning,"agent, architecture, intelligent, belief, intention"
Explainable Knowledge Representation,"explainable, interpretability, transparency, symbolic, justification"
Default Logic and Uncertainty,"defeasibility, logic, inference, default, uncertainty"
First-Order Circumscription,"circumscription, minimization, predicate, abnormal, models"
Autoepistemic Logic,"autoepistemic, belief, knowledge, extensions, stable"
Abductive Reasoning Formalisms,"abduction, explanation, hypothesis, diagnostics, evidence"
Belief Revision and Change,"revision, change, contraction, expansion, theory"
Abstract Argumentation Frameworks,"argumentation, semantics, frameworks, attack, justification"
Post-hoc Explainability Methods,"post-hoc, lime, shap, explanation, approximation"
Ethical AI and Trust,"fairness, bias, accountability, ethics, trust"
Causal and Counterfactual Explanations,"counterfactual, recourse, causal, what-if, influence"
Human-Centered XAI,"human, user, interface, evaluation, cognition"
Visual Explanation Techniques,"visual, heatmap, saliency, attention, visualization"
Inference in Commonsense,"inference, nonmonotonic, logic, deduction, abduction"
Temporal and Causal Reasoning,"time, causality, actions, events, planning"
Mental State Reasoning,"beliefs, desires, intentions, emotions, theory"
Data and Benchmarking,"crowdsourcing, human, labeling, evaluation, benchmarks"
First-Order Logic Foundations,"first-order, quantifiers, predicates, logic, semantics"
Knowledge Representation and Inference,"knowledge, representation, reasoning, inference, axioms"
Description Logic Modeling,"classes, roles, individuals, dl, description"
Ontologies for Semantic Web,"semantic, web, owl, rdf, alignment"
Non-Classical and Modal Logics,"modal, temporal, non-monotonic, default, belief"
Automated Reasoning and Proof,"automated, theorem, proving, resolution, unification"
Logic-Based Knowledge Graphs,"graph, data, schema, linked, triple"
Neuro-Symbolic Integration,"neural, symbolic, integration, knowledge, logic"
Automated Reasoning & Planning,"reasoning, automatic, planning, constraints, consistency"
Knowledge Representation,"representation, graph, ontology, facts, rules"
Explainable Neuro-Symbolic AI,"explainable, interpretability, trust, transparency, insights"
Differentiable Logic Programming,"program, synthesis, logic, programming, differentiable"
Neuro-Symbolic Applications,"commonsense, robotics, nlp, vision, application"
Foundational XAI Concepts,"interpretability, transparency, trust, fidelity, auditability"
Model-Agnostic Explainers,"lime, shap, agnostic, local, importance"
Feature Importance & Visualization,"features, relevance, attribution, heatmaps, visualization"
Responsible AI and XAI,"responsible, fairness, bias, governance, ethics"
Causal and Contrastive Explanations,"causality, counterfactual, systems, why, what-if"
Inherently Interpretable Models,"rules, trees, linear, logic, inherent"
