research_field,response
Legal Theory,"[
{ ""topic_words"": [""positivism"", ""natural"", ""rights"", ""morality"", ""rule""], ""topic_label"": ""Natural Law vs Legal Positivism"" },
{ ""topic_words"": [""jurisprudence"", ""interpretation"", ""adjudication"", ""precedent"", ""statute""], ""topic_label"": ""Jurisprudential Theory and Interpretation"" },
{ ""topic_words"": [""critical"", ""race"", ""gender"", ""marxist"", ""feminist""], ""topic_label"": ""Critical Legal Theory"" },
{ ""topic_words"": [""utility"", ""efficiency"", ""welfare"", ""economics"", ""coase""], ""topic_label"": ""Law and Economics"" },
{ ""topic_words"": [""sovereignty"", ""legitimacy"", ""authority"", ""coercion"", ""state""], ""topic_label"": ""Legal Authority and Sovereignty"" },
{ ""topic_words"": [""hartz"", ""dworkin"", ""finnis"", ""kelsen"", ""austin""], ""topic_label"": ""Key Legal Theorists"" },
{ ""topic_words"": [""justice"", ""fairness"", ""equality"", ""distributive"", ""procedural""], ""topic_label"": ""Theories of Justice in Law"" }
]"
History of Religions of Eastern Origins,"[
{
""topic_words"": [""dharma"", ""karma"", ""samsara"", ""moksha"", ""hinduism""],
""topic_label"": ""Indic Religious Concepts""
},
{
""topic_words"": [""tao"", ""wu-wei"", ""yin-yang"", ""chi"", ""immortality""],
""topic_label"": ""Taoist Philosophy and Practice""
},
{
""topic_words"": [""buddha"", ""nirvana"", ""siddhartha"", ""dhamma"", ""sangha""],
""topic_label"": ""Early Buddhist Foundations""
},
{
""topic_words"": [""shinto"", ""kami"", ""shrine"", ""torii"", ""ritual""],
""topic_label"": ""Japanese Shinto Practices""
},
{
""topic_words"": [""confucius"", ""ren"", ""li"", ""filial"", ""piety""],
""topic_label"": ""Core Confucian Ethics""
},
{
""topic_words"": [""zen"", ""chan"", ""meditation"", ""koan"", ""satori""],
""topic_label"": ""Zen and Chan Buddhism""
},
{
""topic_words"": [""jainism"", ""ahimsa"", ""tirthankara"", ""asceticism"", ""non-violence""],
""topic_label"": ""Jain Fundamental Principles""
}
]"
Asian History,"[
{
""topic_words"": [
""dynasty"",
""emperor"",
""mandate"",
""bureaucracy"",
""imperial""
],
""topic_label"": ""Chinese Imperial History""
},
{
""topic_words"": [
""indus"",
""buddhism"",
""mughal"",
""partition"",
""colonialism""
],
""topic_label"": ""South Asian Historical Eras""
},
{
""topic_words"": [
""shogun"",
""meiji"",
""samurai"",
""tokugawa"",
""imperialism""
],
""topic_label"": ""Japanese Pre-Modern & Modern""
},
{
""topic_words"": [
""vietnam"",
""korea"",
""cambodia"",
""archipelago"",
""maritime""
],
""topic_label"": ""Southeast Asian History""
},
{
""topic_words"": [
""silk"",
""trade"",
""exchange"",
""maritime"",
""buddhist""
],
""topic_label"": ""Asian Trade Networks""
},
{
""topic_words"": [
""colonization"",
""war"",
""postcolonial"",
""nationalism"",
""resistance""
],
""topic_label"": ""Modern Colonial/Postcolonial Asia""
},
{
""topic_words"": [
""caste"",
""gender"",
""peasant"",
""social"",
""labor""
],
""topic_label"": ""Social History and Class""
}
]"
Hip Hop Studies,"[
{ ""topic_words"": [""djing"", ""turntables"", ""beats"", ""sampling"", ""scratching""], ""topic_label"": ""Turntablism and DJ Culture"" },
{ ""topic_words"": [""rapping"", ""emceeing"", ""lyrics"", ""rhyme"", ""flow""], ""topic_label"": ""MCing and Lyrical Poetics"" },
{ ""topic_words"": [""breaking"", ""b-boy"", ""dance"", ""footwork"", ""powermoves""], ""topic_label"": ""Breaking Dance Forms"" },
{ ""topic_words"": [""graffiti"", ""writing"", ""tags"", ""aerosol"", ""mural""], ""topic_label"": ""Graffiti and Visual Art"" },
{ ""topic_words"": [""subcultures"", ""metropolis"", ""identity"", ""conflict"", ""urban""], ""topic_label"": ""Urban Cultural Dynamics"" },
{ ""topic_words"": [""commercialization"", ""industry"", ""media"", ""market"", ""global""], ""topic_label"": ""Industry and Global Reach"" },
{ ""topic_words"": [""politics"", ""activism"", ""resistance"", ""race"", ""social""], ""topic_label"": ""Political and Social Commentary"" }
]"
Aesthetics,"[
{
""topic_words"": [""beauty"", ""sublime"", ""grace"", ""charm"", ""elegance""],
""topic_label"": ""Aesthetic Values and Properties""
},
{
""topic_words"": [""judgment"", ""taste"", ""disinterest"", ""normative"", ""immediacy""],
""topic_label"": ""Aesthetic Judgment and Taste""
},
{
""topic_words"": [""experience"", ""attitude"", ""pleasure"", ""perception"", ""emotion""],
""topic_label"": ""Aesthetic Experience and Perception""
},
{
""topic_words"": [""definition"", ""ontology"", ""non-art"", ""conventionalist"", ""categories""],
""topic_label"": ""Philosophy of Art Definitions""
},
{
""topic_words"": [""expression"", ""artist"", ""creativity"", ""originality"", ""mind""],
""topic_label"": ""Art as Expression""
},
{
""topic_words"": [""empirical"", ""neuroaesthetics"", ""visual"", ""psychology"", ""scientific""],
""topic_label"": ""Empirical Aesthetics Research""
},
{
""topic_words"": [""nature"", ""landscape"", ""environmental"", ""appreciation"", ""natural""],
""topic_label"": ""Aesthetics of Nature""
}
]"
The Sun and the Solar System,"[
{
""topic_words"": [""corona"", ""solar"", ""wind"", ""flares"", ""magnetic""],
""topic_label"": ""Solar Atmosphere and Activity""
},
{
""topic_words"": [""planets"", ""terrestrial"", ""gas"", ""dwarf"", ""orbit""],
""topic_label"": ""Planetary Classification and Dynamics""
},
{
""topic_words"": [""jupiter"", ""saturn"", ""uranus"", ""neptune"", ""giants""],
""topic_label"": ""Outer Gas Giant Planets""
},
{
""topic_words"": [""comets"", ""asteroids"", ""belt"", ""oort"", ""kuiper""],
""topic_label"": ""Minor Solar System Bodies""
},
{
""topic_words"": [""formation"", ""nebula"", ""accretion"", ""protoplanetary"", ""disk""],
""topic_label"": ""Solar System Formation""
},
{
""topic_words"": [""space"", ""weather"", ""geomagnetic"", ""radiation"", ""effects""],
""topic_label"": ""Space Weather Impacts""
},
{
""topic_words"": [""helioseismology"", ""interior"", ""convection"", ""nuclear"", ""fusion""],
""topic_label"": ""Solar Interior Structure""
}
]"
Hindu Studies,"[
{
""topic_words"": [""dharma"", ""karma"", ""samsara"", ""moksha"", ""reincarnation""],
""topic_label"": ""Cycles of Life and Liberation""
},
{
""topic_words"": [""vedas"", ""rig"", ""upanisads"", ""brahmanas"", ""shruti""],
""topic_label"": ""Vedic Texts and Scriptures""
},
{
""topic_words"": [""brahman"", ""atman"", ""maya"", ""advaita"", ""shankara""],
""topic_label"": ""Vedanta Philosophical Concepts""
},
{
""topic_words"": [""bhakti"", ""devotion"", ""puja"", ""temple"", ""murti""],
""topic_label"": ""Hindu Devotional Practices""
},
{
""topic_words"": [""vishnu"", ""shiva"", ""shakti"", ""trimurti"", ""deities""],
""topic_label"": ""Major Hindu Deities""
},
{
""topic_words"": [""yoga"", ""meditation"", ""asanas"", ""pranayama"", ""discipline""],
""topic_label"": ""Philosophies and Practices of Yoga""
},
{
""topic_words"": [""gita"", ""mahabharata"", ""epic"", ""krishna"", ""arjuna""],
""topic_label"": ""Bhagavad Gita and Epics""
}
]"
Spanish Literature,"[
{
""topic_words"": [""cervantes"", ""quijote"", ""golden"", ""picaresque"", ""drama""],
""topic_label"": ""Spanish Golden Age Literature""
},
{
""topic_words"": [""góngora"", ""quevedo"", ""baroque"", ""poetry"", ""conceptism""],
""topic_label"": ""Baroque Poetry and Style""
},
{
""topic_words"": [""galdós"", ""realism"", ""naturalism"", ""novel"", ""nineteenth""],
""topic_label"": ""19th Century Spanish Realism""
},
{
""topic_words"": [""lorca"", ""generation"", ""poetry"", ""surrealism"", ""civil""],
""topic_label"": ""Generation of '27""
},
{
""topic_words"": [""boom"", ""magical"", ""realism"", ""garcía"", ""márquez""],
""topic_label"": ""Latin American Boom""
},
{
""topic_words"": [""narrative"", ""author"", ""reader"", ""voice"", ""discourse""],
""topic_label"": ""Literary Theory and Narrative""
},
{
""topic_words"": [""feminism"", ""gender"", ""women's"", ""identity"", ""sexuality""],
""topic_label"": ""Gender Studies in Literature""
}
]"
Meat Science,"[
{ ""topic_words"": [""tenderness"", ""marbling"", ""color"", ""ph"", ""texture""], ""topic_label"": ""Meat Quality Attributes"" },
{ ""topic_words"": [""microorganisms"", ""pathogen"", ""safety"", ""haccp"", ""spoilage""], ""topic_label"": ""Meat Safety and Microbiology"" },
{ ""topic_words"": [""curing"", ""nitrite"", ""smoking"", ""preservation"", ""processing""], ""topic_label"": ""Meat Processing Techniques"" },
{ ""topic_words"": [""muscle"", ""protein"", ""collagen"", ""sarcomere"", ""biochemistry""], ""topic_label"": ""Muscle Biochemistry and Structure"" },
{ ""topic_words"": [""fat"", ""composition"", ""nutrition"", ""value"", ""dietary""], ""topic_label"": ""Nutritive Value of Meat"" },
{ ""topic_words"": [""cookery"", ""temperature"", ""doneness"", ""handling"", ""method""], ""topic_label"": ""Meat Cooking and Handling"" },
{ ""topic_words"": [""carcass"", ""yield"", ""grading"", ""evaluation"", ""beef""], ""topic_label"": ""Carcass Evaluation and Grading"" }
]"
Mormon Studies,"[
{
""topic_words"": [""joseph"", ""smith"", ""brigham"", ""young"", ""restoration""],
""topic_label"": ""Founding Figures and History""
},
{
""topic_words"": [""book"", ""mormon"", ""doctrine"", ""covenants"", ""pearl""],
""topic_label"": ""Standard Works of Scripture""
},
{
""topic_words"": [""temple"", ""ordinances"", ""endowment"", ""sealing"", ""ritual""],
""topic_label"": ""Temple Worship and Rituals""
},
{
""topic_words"": [""polygamy"", ""plural"", ""marriage"", ""succession"", ""revelation""],
""topic_label"": ""Plural Marriage and Succession""
},
{
""topic_words"": [""zion"", ""deseret"", ""migration"", ""utah"", ""settlement""],
""topic_label"": ""Western Migration and Settlement""
},
{
""topic_words"": [""priesthood"", ""aaronic"", ""melchizedek"", ""authority"", ""organization""],
""topic_label"": ""Priesthood Structure and Authority""
},
{
""topic_words"": [""celestial"", ""kingdom"", ""telestial"", ""terrestrial"", ""afterlife""],
""topic_label"": ""Plan of Salvation""
}
]"
