topic_words,topic_label
"sequence,time,series,lstm,gru,hidden,state,backpropagation","Recurrent Neural Networks (RNNs)"
"image,convolution,filter,pooling,layer,feature,vision,activation","Convolutional Neural Networks (CNNs)"
"generator,discriminator,adversarial,training,latent,space,image,synthesis","Generative Adversarial Networks (GANs)"
"agent,environment,reward,policy,q-learning,state,action,episode","Reinforcement Learning Models"
"attention,self-attention,encoder,decoder,transformer,nlp,token,model","Transformer Architectures"
"svm,kernel,hyperplane,margin,classification,support,vector,regression","Support Vector Machines (SVMs)"
"tree,node,split,entropy,gini,pruning,classification,leaf","Decision Tree Algorithms"
"nlp,text,language,corpus,tokenization,embedding,sentiment,parsing","Natural Language Processing (NLP)"
"vision,image,object,detection,segmentation,recognition,feature,tracking","Computer Vision Systems"
"sort,quicksort,mergesort,bubble,heap,algorithm,complexity,comparison","Sorting Algorithm Analysis"
"graph,dfs,bfs,traversal,node,edge,search,pathfinding","Graph Traversal Algorithms"
"dijkstra,bellman-ford,a-star,path,graph,shortest,weight,edge","Shortest Path Optimization"
"dynamic,programming,memoization,subproblem,optimal,recursion,tabulation,state","Dynamic Programming Techniques"
"complexity,big-o,asymptotic,notation,time,space,worst-case,logarithmic","Algorithmic Complexity Theory"
"hash,table,key,value,collision,bucket,probing,mapping","Hash Table Implementations"
"tree,binary,search,avl,red-black,node,leaf,b-tree","Tree-Based Data Structures"
"cpu,architecture,pipeline,cache,instruction,set,alu,register","CPU Architecture Design"
"gpu,cuda,parallel,computing,shader,thread,kernel,graphics","GPU Computing Paradigms"
"quantum,qubit,superposition,entanglement,gate,algorithm,shor,grover","Quantum Computing Principles"
"cache,memory,ram,register,l1,l2,l3,latency","Memory Hierarchy and Caching"
"tcp,ip,protocol,packet,socket,port,http,udp","Network Protocols (TCP/IP Suite)"
"firewall,ids,ips,vpn,encryption,ddos,malware,cybersecurity","Network Security and Defense"
"blockchain,crypto,bitcoin,ethereum,consensus,decentralized,ledger,smart-contract","Blockchain and Distributed Ledger Technology"
"cloud,aws,azure,gcp,iaas,paas,saas,virtualization","Cloud Computing Platforms"
"distributed,database,nosql,cassandra,cap,theorem,replication,sharding","Distributed Database Systems"
"iot,sensor,device,network,edge,computing,actuator,embedded","Internet of Things (IoT) Ecosystems"
"microservice,api,gateway,container,docker,kubernetes,service,discovery","Microservices Architecture Patterns"
"agile,scrum,sprint,kanban,backlog,user-story,standup,velocity","Agile Software Development Methodologies"
"testing,qa,unit,integration,test,automation,selenium,bug-tracking","Software Testing and Quality Assurance"
"git,svn,version,control,commit,branch,merge,repository","Version Control Systems"
"design,pattern,singleton,factory,observer,strategy,mvc,architecture","Software Design Patterns"
"devops,ci,cd,jenkins,automation,pipeline,deployment,infrastructure-as-code","DevOps and Continuous Integration/Deployment"
"sql,database,relational,query,join,index,transaction,normalization","Relational Databases and SQL"
"nosql,mongodb,document,key-value,columnar,graph,database,schema-less","NoSQL Database Models"
"query,optimizer,plan,execution,index,join,cardinality,database","Database Query Optimization"
"data,warehouse,etl,olap,cube,dimension,fact,business-intelligence","Data Warehousing and OLAP"
"render,ray,tracing,graphics,3d,shader,light,texture","3D Rendering and Ray Tracing"
"image,processing,filter,edge,detection,fourier,transform,histogram","Digital Image Processing Techniques"
"ar,vr,augmented,virtual,reality,headset,tracking,immersion","Augmented & Virtual Reality Systems"
"crypto,rsa,ecc,public,private,key,encryption,digital-signature","Public-Key Cryptography"
"aes,des,symmetric,encryption,cipher,block,stream,key-exchange","Symmetric-Key Cryptography"
"cybersecurity,threat,malware,phishing,vulnerability,exploit,attack,vector","Cybersecurity Threat Intelligence"
"compiler,parser,lexer,ast,optimizer,code,generation,llvm","Compiler Design and Optimization"
"language,type,theory,lambda,calculus,semantics,syntax,formal","Programming Language Theory"
"hci,ui,ux,usability,interaction,design,user,interface","Human-Computer Interaction (HCI)"
"ux,research,user,study,persona,journey,map,usability-testing","User Experience (UX) Research Methods"
"formal,verification,model,checking,theorem,proving,specification,correctness","Formal Methods and Verification"
"automata,finite,dfa,nfa,pushdown,turing,machine,regular-expression","Automata Theory and Formal Languages"
"genome,dna,sequencing,bioinformatics,gene,alignment,computational,biology","Computational Genomics"
"robot,motion,planning,path,kinematics,obstacle,avoidance,configuration-space","Robotics and Motion Planning"
"federated,learning,decentralized,privacy,model,aggregation,client,server","Federated Learning Systems"
"xai,explainable,interpretable,ai,model,lime,shap,black-box","Explainable AI (XAI)"
"time,series,forecasting,arima,lstm,prophet,seasonal,trend","Time Series Forecasting"
"anomaly,detection,outlier,unsupervised,data,fraud,intrusion,novelty","Anomaly Detection Algorithms"
"recommender,system,collaborative,filtering,content-based,matrix,factorization,cold-start","Recommender Systems"
"cluster,k-means,dbscan,hierarchical,unsupervised,centroid,density,algorithm","Clustering Algorithms"
"pca,tsne,dimensionality,reduction,feature,embedding,manifold,latent-space","Dimensionality Reduction"
"ai,ethics,bias,fairness,accountability,transparency,algorithm,social-impact","Ethical AI and Algorithmic Fairness"
"sentiment,analysis,text,polarity,positive,negative,opinion,mining","Sentiment Analysis and Opinion Mining"
"speech,recognition,asr,audio,acoustic,model,language,transcription","Automatic Speech Recognition (ASR)"
"oop,class,object,inheritance,polymorphism,encapsulation,method,attribute","Object-Oriented Programming (OOP)"
"functional,programming,lambda,immutable,pure,function,monad,higher-order","Functional Programming Paradigms"
"os,kernel,monolithic,microkernel,scheduler,memory,management,system-call","Operating System Kernel Design"
"file,system,ntfs,ext4,fat32,inode,block,directory-structure","File System Architectures"
"concurrency,parallelism,thread,process,lock,mutex,semaphore,race-condition","Concurrency and Parallel Programming"
"wifi,802.11,wireless,network,ssid,access-point,wpa,channel-bonding","Wireless Networking Protocols"
"mobile,app,ios,android,swift,kotlin,react-native,flutter","Mobile Application Development Frameworks"
"web,security,xss,csrf,sql-injection,owasp,vulnerability,https","Web Application Security"
"edge,computing,iot,latency,device,fog,cloudlet,decentralized-cloud","Edge Computing Architectures"
"serverless,lambda,functions,faas,cloud,event-driven,aws,trigger","Serverless Computing"
"docker,kubernetes,container,orchestration,pod,image,microservice,k8s","Containerization and Orchestration"
"information,retrieval,search,engine,indexing,ranking,query,document","Information Retrieval Systems"
"data,mining,pattern,association,rule,classification,clustering,knowledge-discovery","Data Mining Techniques"
"big,data,hadoop,spark,mapreduce,hdfs,hive,ecosystem","Big Data Technologies"
"stream,processing,kafka,flink,spark,streaming,real-time,event-sourcing","Real-Time Stream Processing"
"digital,forensics,investigation,evidence,data,recovery,chain-of-custody,incident-response","Digital Forensics"
"pen-test,penetration,testing,ethical,hacking,exploit,vulnerability,assessment","Penetration Testing Methodologies"
"vm,virtual,machine,hypervisor,virtualization,guest,host,emulation","Virtualization Technologies"
"api,rest,graphql,endpoint,json,design,versioning,authentication","API Design and Management"
"ui,design,interface,layout,component,visual,mockup,wireframe","User Interface (UI) Design"
"accessibility,a11y,wcag,screen-reader,inclusive,design,disability,aria-tags","Web and Software Accessibility"
"game,engine,unity,unreal,render,physics,scripting,entity-component","Game Engine Architecture"
"computational,photography,hdr,panorama,image,stacking,depth-of-field,light-field","Computational Photography"
"bio-inspired,computing,genetic,algorithm,swarm,intelligence,ant,colony,evolutionary","Bio-inspired Computing"
"quantum,cryptography,qkd,bb84,key,distribution,security,eavesdropping","Quantum Cryptography"
"fault,tolerant,systems,redundancy,failover,resilience,high-availability,distributed","Fault-Tolerant Systems"
"p2p,peer-to-peer,bittorrent,decentralized,file,sharing,node,network-overlay","Peer-to-Peer (P2P) Networks"
"cdn,content,delivery,network,edge,server,cache,latency-reduction","Content Delivery Networks (CDN)"
"dns,domain,name,system,resolver,record,ip,address-resolution","Domain Name System (DNS)"
"logic,programming,prolog,unification,backtracking,predicate,clause,inference-engine","Logic Programming"
"memory,management,garbage,collection,stack,heap,pointer,allocation","Automated Memory Management"
"information,theory,entropy,shannon,channel,capacity,coding,compression","Information Theory"
"graph,database,neo4j,cypher,node,relationship,graph,query-language","Graph Databases"
"human,computation,crowdsourcing,captcha,gamification,collective,intelligence,citizen-science","Human Computation and Crowdsourcing"
"natural,language,generation,nlg,text,summarization,dialogue,system,narrative","Natural Language Generation (NLG)"
"privacy,preserving,data,mining,differential,privacy,k-anonymity,secure,computation","Privacy-Preserving Data Mining"
"multi,agent,systems,agent,coordination,negotiation,cooperation,swarm","Multi-Agent Systems"
"semantic,web,rdf,owl,sparql,linked,data,ontology","The Semantic Web"
"computer,aided,design,cad,3d,modeling,autocad,solidworks","Computer-Aided Design (CAD)"
"high,performance,computing,hpc,supercomputer,cluster,mpi,openmp","High-Performance Computing (HPC)"
"computer,graphics,opengl,vulkan,directx,rasterization,shading,pipeline","Real-Time Computer Graphics"
"digital,signal,processing,dsp,fourier,filter,sampling,convolution","Digital Signal Processing (DSP)"
"bioinformatics,algorithms,sequence,alignment,phylogenetic,tree,protein,structure","Bioinformatics Algorithms"
"knowledge,representation,reasoning,ontology,expert,system,inference,logic","Knowledge Representation and Reasoning"
"software,defined,networking,sdn,openflow,controller,data,plane","Software-Defined Networking (SDN)"
"information,visualization,d3,charts,graphs,dashboard,visual,analytics","Information Visualization"
"deep,reinforcement,learning,drl,dqn,a3c,policy,gradient","Deep Reinforcement Learning"
"zero,shot,learning,unseen,class,attribute,semantic,embedding","Zero-Shot and Few-Shot Learning"
"adversarial,attacks,machine,learning,perturbation,robustness,defense,fooling","Adversarial Machine Learning"
"meta,learning,learn,to,learn,maml,few-shot,adaptation","Meta-Learning"
"graph,neural,networks,gnn,node,embedding,graph,convolution","Graph Neural Networks (GNNs)"
"autonomous,vehicles,self-driving,car,lidar,sensor,fusion,path-planning","Autonomous Vehicles"
"computational,linguistics,parsing,syntax,semantics,morphology,corpus,language-model","Computational Linguistics"
"spam,detection,email,filter,phishing,machine,learning,bayesian","Spam and Phishing Detection"
"cryptocurrency,mining,proof-of-work,proof-of-stake,asic,hashrate,blockchain,reward","Cryptocurrency Mining"
"smart,contracts,solidity,ethereum,blockchain,dapp,decentralized,application","Smart Contract Development"
"load,balancing,server,farm,proxy,cluster,traffic,distribution","Load Balancing Algorithms"
"database,indexing,b-tree,hash,index,query,performance,clustered","Database Indexing Structures"
"transaction,management,acid,concurrency,control,locking,database,isolation","Database Transaction Management"
"geospatial,data,gis,gps,spatial,database,indexing,query","Geospatial Data Processing"
"firmware,embedded,system,microcontroller,rtos,real-time,hardware,interface","Firmware and Embedded Systems"
"vlsi,design,chip,fabrication,transistor,integrated,circuit,asic","VLSI Design"
"user,authentication,password,biometrics,mfa,oauth,sso,identity","User Authentication Systems"
"intrusion,detection,systems,ids,signature,based,anomaly,network,traffic","Intrusion Detection Systems"
"malware,analysis,virus,worm,trojan,reverse,engineering,sandbox","Malware Analysis"
"data,compression,lossy,lossless,huffman,lzw,algorithm,entropy-coding","Data Compression Algorithms"
"error,correction,codes,ecc,hamming,reed-solomon,parity,bit","Error Detection and Correction Codes"
"computer,arithmetic,floating,point,ieee,754,fixed,point,alu","Computer Arithmetic"
"code,obfuscation,reverse,engineering,tamper,proofing,software,protection","Code Obfuscation"
"search,engine,optimization,seo,keyword,ranking,pagerank,crawler","Search Engine Optimization (SEO)"
"social,network,analysis,graph,theory,centrality,community,detection,sna","Social Network Analysis"
"e-commerce,platforms,shopping,cart,payment,gateway,recommendation,engine,security","E-commerce Systems"
"online,advertising,ad-tech,real-time,bidding,rtb,cpc,ctr","Online Advertising Technology"
"educational,technology,edtech,lms,mooc,adaptive,learning,intelligent-tutoring","Educational Technology"
"health,informatics,ehr,emr,medical,records,healthcare,data,hipaa","Health Informatics"
"computational,finance,algorithmic,trading,quantitative,analysis,fintech,risk-model","Computational Finance"
"digital,humanities,text,analysis,corpus,linguistics,visualization,archiving","Digital Humanities"
"reproducible,research,jupyter,notebook,docker,provenance,workflow,open-science","Reproducible Research in Computing"
"green,computing,energy,efficiency,data,center,power,consumption,e-waste","Green Computing"
"affective,computing,emotion,ai,sentiment,facial,expression,physiological,signal","Affective Computing"
"computer,music,synthesis,midi,audio,processing,algorithmic,composition","Computer Music and Audio Synthesis"
"robotics,sensor,fusion,kalman,filter,lidar,imu,localization","Robotic Sensor Fusion"
"humanoid,robotics,bipedal,locomotion,kinematics,dynamics,actuator,control","Humanoid Robotics"
"swarm,robotics,collective,behavior,decentralized,control,coordination,multi-robot","Swarm Robotics"
"soft,robotics,compliant,actuator,material,bio-inspired,morphology,flexible","Soft Robotics"
"network-on-chip,noc,router,topology,interconnect,many-core,communication,fabric","Network-on-Chip Architectures"
"photorealistic,rendering,global,illumination,path,tracing,monte,carlo","Photorealistic Rendering"
"non-photorealistic,rendering,npr,cel,shading,toon,stylized,artistic","Non-Photorealistic Rendering"
"physics,based,animation,simulation,fluid,dynamics,cloth,rigid,body","Physics-Based Animation"
"procedural,content,generation,pcg,game,level,terrain,texture,algorithm","Procedural Content Generation"
"biometric,security,fingerprint,iris,facial,recognition,authentication,gait","Biometric Security Systems"
"steganography,data,hiding,covert,channel,image,audio,least-significant-bit","Steganography"
"process,scheduling,algorithms,fcfs,sjf,round-robin,priority,os","Operating System Process Scheduling"
"page,replacement,algorithms,fifo,lru,optimal,virtual,memory,paging","Virtual Memory Page Replacement"
"deadlock,detection,avoidance,prevention,banker's,algorithm,os,resource-allocation","Deadlock Handling in Operating Systems"
"routing,algorithms,ospf,bgp,rip,link-state,distance-vector,network","Network Routing Algorithms"
"wireless,sensor,networks,wsn,node,mote,routing,energy-harvesting","Wireless Sensor Networks"
"mobile,ad-hoc,networks,manet,routing,aodv,dsr,network,topology","Mobile Ad-hoc Networks (MANETs)"
"quality,of,service,qos,network,bandwidth,latency,jitter,traffic-shaping","Network Quality of Service (QoS)"
"software,metrics,cyclomatic,complexity,code,churn,coupling,cohesion","Software Engineering Metrics"
"refactoring,code,smell,technical,debt,design,pattern,legacy-code","Code Refactoring"
"static,code,analysis,linting,bug,pattern,vulnerability,data-flow","Static Code Analysis"
"model-driven,engineering,mde,uml,metamodel,transformation,code-generation","Model-Driven Engineering"
"aspect-oriented,programming,aop,cross-cutting,concern,join,point,advice","Aspect-Oriented Programming"
"symbolic,execution,path,exploration,constraint,solver,testing,program-analysis","Symbolic Execution"
"fuzz,testing,fuzzing,vulnerability,discovery,mutation,generation,crash-analysis","Fuzz Testing (Fuzzing)"
"type,inference,hindley-milner,algorithm,static,typing,polymorphism,language-design","Type Inference Systems"
"garbage,collection,mark-and-sweep,copying,generational,reference-counting,memory-management","Garbage Collection Algorithms"
"just-in-time,compilation,jit,virtual,machine,bytecode,hotspot,performance","Just-In-Time (JIT) Compilation"
"domain-specific,languages,dsl,compiler,parser,metaprogramming,language-workbench","Domain-Specific Languages (DSLs)"
"cloud,storage,s3,blob,object,storage,distributed,file,system","Cloud Storage Systems"
"database,replication,master-slave,multi-master,synchronous,asynchronous,consistency","Database Replication Strategies"
"distributed,consensus,paxos,raft,byzantine,fault,tolerance,agreement","Distributed Consensus Algorithms"
"mapreduce,paradigm,hadoop,big,data,distributed,computing,mapper-reducer","MapReduce Programming Model"
"computational,creativity,generative,art,music,narrative,ai,novelty","Computational Creativity"
"quantum,machine,learning,qml,quantum,circuit,variational,algorithm,kernel","Quantum Machine Learning"
"neuromorphic,computing,spiking,neural,network,brain-inspired,hardware,synapse","Neuromorphic Computing"
"optical,computing,photonics,light,processor,interconnect,waveguide","Optical Computing"
"dna,computing,molecular,biology,self-assembly,computation,nanotechnology","DNA Computing"
"multi-touch,interfaces,gesture,recognition,touchscreen,interaction,direct-manipulation,hci","Multi-Touch Interfaces"
"tangible,user,interfaces,tui,physical,computing,embodied,interaction,phygital","Tangible User Interfaces"
"brain-computer,interfaces,bci,eeg,neural,signal,neurofeedback,assistive-technology","Brain-Computer Interfaces"
"voice,user,interfaces,vui,alexa,siri,speech,recognition,nlp","Voice User Interfaces"
"collaborative,filtering,recommender,system,user-based,item-based,matrix,factorization","Collaborative Filtering"
"content-based,filtering,recommender,system,item,profile,feature,extraction,tf-idf","Content-Based Filtering"
"hybrid,recommender,systems,collaborative,content-based,cold-start,ensemble,svd","Hybrid Recommender Systems"
"topic,modeling,lda,latent,dirichlet,allocation,corpus,document,word-distribution","Topic Modeling"
"word,embeddings,word2vec,glove,fasttext,vector,space,semantic-similarity","Word Embeddings"
"named,entity,recognition,ner,person,organization,location,text-extraction","Named Entity Recognition (NER)"
"machine,translation,statistical,neural,smt,nmt,encoder-decoder,attention","Machine Translation"
"question,answering,systems,information,retrieval,reading,comprehension,knowledge-base,bert","Question Answering Systems"
"text,summarization,extractive,abstractive,seq2seq,pointer-generator,rouge","Automated Text Summarization"
