topic_words,topic_label,predicted_label_small,predicted_label_base,predicted_label_large,similarity_gpt,similarity_small,similarity_base,similarity_large
"model, language, task, training, tuning, pre, fine, data",Machine Learning Models,Model Language Training,Model Language Training,Data Mining Techniques,0.8681065,0.874256,0.874256,0.8220017
"model, network, training, learning, data, neural, deep, feature",Deep Neural Networks,Model Network Training,Deep Learning,Deep Neural Networks,0.86545056,0.84892875,0.8425144,0.8654506
"problem, algorithm, optimization, objective, solution, search, evolutionary, function",Optimization Algorithms,Problem Optimization,Optimization Algorithms,Optimization Algorithms,0.8740885,0.86175334,0.8740885,0.8740886
"model, method, learning, algorithm, data, problem, distribution, function",Learning Methods,Model Learning Methods,Model Learning Algorithms,Model-Based Learning,0.82878894,0.8351971,0.8453109,0.8019817
"text, word, document, sentence, based, model, method, classification",Text Classification,"Text, Word, Document, Methods",Text-Based Classification,Text-Based Classification,0.8961673,0.9480232,0.9019538,0.9019538
"image, data, model, learning, using, based, deep, detection",Image Processing,Image Detection,Deep Learning,Deep Image Learning,0.81673396,0.852616,0.87900996,0.88632596
"network, neural, model, learning, training, method, architecture, based",Neural Network Architecture,Network Learning Models,Neural Networks,Neural Networks (NNNs),0.8897678,0.8683096,0.8878995,0.9545432
"series, time, forecasting, multivariate, model, data, datasets, temporal",Time Series Forecasting,Time Forecasting,Time Series Forecasting,Multivariate Forecasting,0.90175885,0.8834683,0.90175885,0.8798097
"model, data, human, machine, learning, research, explanation, based",Human-Machine Learning,Model Data Learning,Machine Learning,Human Machine Learning,0.85738516,0.82970107,0.83335626,0.8611497
"agent, game, environment, task, human, learning, multi, reinforcement",Reinforcement Learning,Multi-Agent Learning,Multi-Agent Learning,Multi-Agent Systems,0.80896366,0.9074874,0.90748733,0.9010354
"graph, data, learning, model, method, task, feature, domain",Graph Learning,Graph Data Learning,Data Learning Models,Graph Data Learning,0.8809967,0.873617,0.81913006,0.8736168
"llm, reasoning, question, large, language, model, human, evaluation",Large Language Models,Language Models,Large-Language Models,Human Reasoning Models,0.8399172,0.8178457,0.88747597,0.85781205
"method, point, view, pose, scene, based, estimation, image",Scene Estimation,Methods,Method Based Image Estimation,Image Processing Techniques,0.8720776,0.80259216,0.8668728,0.79688036
